canonical_smiles,standard_type,standard_value
Cc1ccc(NN2C(=O)C=C(c3ccccc3)C2=O)cc1,EC50,10510.0
COc1ccc(/C=C(\C#N)c2c[nH]c3ccccc23)cc1,EC50,39160.0
Cc1cccc(N=Nc2ccc(O)c3ncccc23)c1,EC50,4578.0
COc1ccc(N2C(=O)C(Cl)=C(Oc3cccc(OC)c3)C2=O)cc1,EC50,1843.0
CCCCCn1c(N2CCN(c3cccc(Cl)c3)CC2)nc2c1c(=O)[nH]c(=O)n2C,EC50,260000.0
CCSc1nnc(NC(=O)c2cccnc2Cl)s1,EC50,260000.0
CCC(NC(=O)/C(=C\c1ccc2c(c1)OCO2)NC(C)=O)C(=O)O,EC50,260000.0
COc1ccc(OC)c(NC(=O)CNC(c2ccccc2)c2ccccc2)c1,EC50,260000.0
COc1cc(OC)c(OC)cc1CN(C)CCc1ccccn1.O=C(O)C(=O)O,EC50,260000.0
Cc1ccccc1NC(=O)CSc1nc(Nc2ccccc2)nc(N2CCOCC2)n1,EC50,260000.0
Cn1cc(C=O)c(-c2ccc3c(c2)OCCCO3)n1,EC50,260000.0
CCN(CC)C(=O)CSc1ncnc2sc(C)c(C)c12,EC50,260000.0
Cc1csc2nc(CCNS(=O)(=O)c3cccs3)cn12,EC50,254200.0
CCCn1nc([N+](=O)[O-])c(C(C#N)c2nc3ccccc3o2)c(Cl)c1=O,EC50,260000.0
Cc1cccc(C(=O)NNC(=O)CCn2nnc3ccccc32)c1,EC50,260000.0
COC(=O)C(NNc1ccccc1C)(NC(=O)c1ccc(F)cc1)C(F)(F)F,EC50,260000.0
CCN(C(=O)COC(=O)c1c2c(nc3ccccc13)/C(=C/c1ccccc1)CC(C)C2)C1CCS(=O)(=O)C1,EC50,14260.0
Cc1c(-n2cc(C(=O)c3ccccc3O)cc(C#N)c2=O)c(=O)n(-c2ccccc2)n1C.Cl,EC50,260000.0
CCN(CC)S(=O)(=O)c1cc([N+](=O)[O-])ccc1NNC(=O)Nc1ccccc1OC,EC50,260000.0
Cc1cc(C(=O)CCl)c(C)n1CCc1ccc(Cl)cc1,EC50,260000.0
CCOC(=O)COc1ccc2ccccc2c1/C=C/[N+](=O)[O-],EC50,3332.0
O=C(/C=C/Sc1ccccc1)c1ccc(Cl)cc1,EC50,9054.0
O=C1CC(c2ccccc2Cl)CC(=O)C1=CNc1ccccc1,EC50,4715.0
CCOC(=O)c1c(NC(=O)c2nn(CC)cc2Br)c(C#N)nn1-c1ccccc1,EC50,260000.0
C=CCn1c(SCC(=O)Nc2cc(NC(C)=O)ccc2OC)nnc1-c1cccnc1,EC50,260000.0
CN(C)/C=C(/C(=O)c1ccccc1)S(=O)(=O)c1ccccc1,EC50,260000.0
CCNc1ccc(S(=O)(=O)N(C)C)cc1NCC(=O)Nc1ccccc1Br,EC50,260000.0
O=c1[nH][nH]c2cc(=O)n(-c3cccc(C(F)(F)F)c3)nc12,EC50,260000.0
O=C1CC(c2ccc(Cl)cc2)n2nc(NS(=O)(=O)c3ccc(F)cc3)nc2N1,EC50,260000.0
O=C(Nc1ccccc1O)c1cccc(S(=O)(=O)Nc2ccccc2O)c1,EC50,260000.0
