B aaa
B12B3B4B5B1C1B6B2B6B3C1B45 aab
B1B2B3C4B1C234 aac
B1BB2B3B1B23 aad
B1C2CCCC1CCC2 aae
B1C=CC=CN1 aaf
B1C=CC=NN1 aag
B1C=CCCN1 aah
B1C=CCO1 aai
B1CCC=NN1 aaj
B1CCC=NO1 aak
B1CCCCCO1 aal
B1CCCCO1 aam
B1CCCO1 aan
B1CCOCCOC[F+][F+][F+]OCCCCCO1 aao
B1NCNCN1 aap
B1NN=Cc2ccsc21 aaq
B1NN=Cc2sccc21 aar
B1Nc2cccc3cccc(c23)N1 aas
B1OBOBO1 aat
B1OC23CCC4C5CC2C2(CCCCC2(O5)C43)O1 aau
B1OCC2OBOCC2O1 aav
B1OCCC(C2COBO2)O1 aaw
B1OCCCO1 aax
B1OCCNCCO1 aay
B1OCCO1 aaz
B1OCOCO1 aaA
B=B aaB
BC1=CC2COCC(C1)N2 aaC
BC1=CCCS1 aaD
BC1=CSCC1 aaE
BN1C=CNC1 aaF
BP aaG
B[PH2]1NCCN1 aaH
B[SiH3] aaI
Br aaJ
BrB1OCc2cccc(n2)CO1 aaK
BrC12CC3C4C5C3C1C5C42 aaL
BrC1=C=C=CO1 aaM
BrC1=C=C=CS1 aaN
BrC1=C=CC=C=C1 aaO
BrC1=C=CC=[S+]1 aaP
BrC1=C=CNN1 aaQ
BrC1=C=CON1 aaR
BrC1=C=CO[CH-]1 aaS
BrC1=C=CS#C1 aaT
BrC1=C=CS[CH-]1 aaU
BrC1=C=C[CH-]C#C1 aaV
BrC1=C=C[CH-]S1 aaW
BrC1=C=NC=C=N1 aaX
BrC1=C=NC=CN1 aaY
BrC1=C=NNC[CH-]1 aaZ
BrC1=C=NS[CH-]1 aba
BrC1=C=N[CH-]N=C1 abb
BrC1=C=N[CH-]S1 abc
BrC1=C=S=C=C1 abd
BrC1=C=S=CN1 abe
BrC1=C=S=NC1 abf
BrC1=C=S=N[CH-]1 abg
BrC1=C=[NH+]NC1 abh
