B1NN=Cc2ccccc21 aaa
B1OC2CC3[CH]C(C3)C2O1 aab
B1OC2COC3O[CH]OC3C2O1 aac
B1OCC2OBO[CH]C2O1 aad
B1OCCNCCO1 aae
B1OCc2ccccc21 aaf
B1O[CH]CO1 aag
B1O[CH]O[CH]O1 aah
B1O[CH][CH]O1 aai
B1O[CH]c2ccc3c(c21)OCCO3 aaj
B1O[CH]c2ccc3c(c21)OCO3 aak
B1O[CH]c2ccccc21 aal
B1c2ccccc2CCc2ccccc21 aam
B[CH]NC=O aan
Br aao
BrC(Br)Br aap
BrC=CBr aaq
Br[CH]Br aar
Br[CH]I aas
C#C aat
C#CBr aau
C#CCl aav
C#CI aaw
C#CN([CH2])C aax
C#CNC=O aay
C#CN[CH2] aaz
C#CO aaA
C#COC=O aaB
C#COCOC aaC
C#CO[SH](=O)=O aaD
C#CP(=O)(O)O aaE
C#CP(=O)([CH]O)OC aaF
C#CP(=O)([CH]O)O[CH2] aaG
C#CP([CH2])(=O)[O-] aaH
C#CS aaI
C#CS(=O)(=O)C(F)(F)F aaJ
C#CS(N)(=O)=O aaK
C#C[P+] aaL
C#C[P+][CH2] aaM
C#C[PH](=O)O aaN
C#C[SH](=O)=O aaO
C#C[Si](C)(C)C aaP
C#N aaQ
C1#CC2Nc3ccccc3C34OC23CCCC4C#CC=C1 aaR
C1#CCNc2cc[n+](c3ccccc23)CCCCC[n+]2ccc(c3ccccc32)NC1 aaS
C1#CCSCC#CC=C[CH]1 aaT
C1#Cc2ccccc2OCCCOc2ccccc21 aaU
C1#Cc2ccccc2OCCOc2ccccc2C#Cc2ccccc2OCCOc2ccccc21 aaV
C12C3C4C1C1C2C3C41 aaW
C1=C2C3Cc4ccccc4C2(CCC1)CCN3 aaX
C1=C2C3Cc4ccccc4C2(CCC1)CC[N+]3 aaY
C1=C2CCC3(OCCO3)C2Cc2cnnc21 aaZ
C1=C2CCCC3(OCCO3)C2CCC1 aba
C1=C2CCCC3(OCCO3)C2Cc2cnnc21 abb
C1=C2CCCC3c4ccccc4NC23Oc2ccccc21 abc
C1=C2CCCCCC2=NC2(CCCCCC2)S1 abd
C1=C2CCCCN2CCC1 abe
C1=C2CCCCn3cc[n+](c32)C1 abf
C1=C2CCCN2CCC1 abg
C1=C2CCCNC2C2CC1C1CCCCN1C2 abh
C1=C2CCN(C1)CC2 abi
C1=C2CCNCC2Cc2cnnc21 abj
C1=C2CN3CCC4C5NC6OCC=C7CN8CCC9%10c%11ccccc%11N(C(OC1)C5C2CC43)C9C6C7CC8%10 abk
C1=C2CNCC3=Cc4ccccc4OC23Oc2ccccc21 abl
C1=C2C[N+]3CCC4C5NC6OCC=C7CN8CCC9%10c%11ccccc%11N(C(OC1)C5C2CC43)C9C6C7CC8%10 abm
C1=C2C[N+]3CCC4C5NC6OCC=C7C[N+]8CCC9%10c%11ccccc%11N(C(OC1)C5C2CC43)C9C6C7CC8%10 abn
C1=C2C[N+]CC2Cc2ccc3ccccc3c21 abo
C1=C2Oc3ccccc3C2C2(CO2)Cc2cnnc21 abp
C1=C2Sc3ccccc3N=C2CCC1 abq
C1=C2Sc3ccccc3N=C2c2ccccc2C1 abr
C1=C2c3ccccc3-c3ccccc3C2CN2CCCC12 abs
C1=C2c3ccccc3CC2CC1 abt
C1=C2c3ccccc3CCN2CNC1 abu
C1=C2c3ccccc3NC2Oc2ccccc21 abv
C1=C2c3ccccc3OCC2Oc2ccccc21 abw
C1=C=CC=CC=1 abx
C1=CC(=C2C=Cc3ccccc32)c2ccccc2N1 aby
